City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yar-sale,66.8333,70.8333,-18.13,99,100,3.9,RU,1676396016
84,barrow,71.2906,-156.7887,-26.99,76,100,5.66,US,1676395805
85,cape town,-33.9258,18.4232,22.84,70,20,10.8,ZA,1676395948
86,ribeira grande,38.5167,-28.7,15.43,63,20,4.12,PT,1676396017
87,port blair,11.6667,92.75,23.02,83,12,1.03,IN,1676395801
88,fairbanks,64.8378,-147.7164,-23.02,77,75,2.06,US,1676396017
89,saskylakh,71.9167,114.0833,-17.37,97,96,2.17,RU,1676396017
90,castro,-24.7911,-50.0119,23.95,83,60,3.69,BR,1676395941
91,torbay,47.6666,-52.7314,-2.01,95,100,14.4,CA,1676396017
92,komsomolskiy,40.4272,71.7189,4.4,81,75,1.03,UZ,1676396017
93,huilong,31.8111,121.655,3.29,72,100,5.53,CN,1676396017
94,atar,20.5169,-13.0499,29.51,19,100,3.55,MR,1676396017
95,narsaq,60.9167,-46.05,-9.88,84,19,1.4,GL,1676396018
96,nueva loja,0.0847,-76.8828,27.01,78,75,2.06,EC,1676395822
97,acapulco,16.8634,-99.8901,29.9,62,40,2.57,MX,1676396018
98,saint-pierre,-21.3393,55.4781,26.82,69,0,7.2,RE,1676395810
99,georgetown,5.4112,100.3354,24.97,94,40,2.57,MY,1676396018
100,port lincoln,-34.7333,135.8667,19.44,76,2,4.82,AU,1676396018
101,coquimbo,-29.9533,-71.3436,20.85,68,0,6.69,CL,1676396018
102,bereda,43.2686,-7.5406,9.1,79,46,0.71,ES,1676396019
103,qaqortoq,60.7167,-46.0333,-14.36,77,2,0.66,GL,1676396019
104,kodiak,57.79,-152.4072,2.73,75,0,6.17,US,1676396019
105,aklavik,68.2191,-135.0107,-38.0,67,20,1.03,CA,1676396019
106,dhrangadhra,22.9833,71.4667,22.43,24,0,2.94,IN,1676396019
107,beringovskiy,63.05,179.3167,-24.34,92,97,3.02,RU,1676396019
108,geraldton,-28.7667,114.6,19.23,72,75,3.6,AU,1676396019
109,belmonte,-15.8631,-38.8828,29.16,62,38,4.18,BR,1676396019
110,arrifes,37.7667,-25.7,14.14,55,20,7.72,PT,1676396020
111,leningradskiy,69.3833,178.4167,-32.27,96,100,3.99,RU,1676396020
112,arraial do cabo,-22.9661,-42.0278,30.98,70,75,5.14,BR,1676396020
113,hilo,19.7297,-155.09,22.93,85,0,3.09,US,1676395721
114,ilulissat,69.2167,-51.1,-24.99,53,0,3.09,GL,1676396020
115,half moon bay,37.4636,-122.4286,10.46,48,0,7.72,US,1676396020
116,kingaroy,-26.5333,151.8333,16.98,99,36,2.77,AU,1676396020
117,kapaa,22.0752,-159.319,22.18,90,40,7.2,US,1676396020
118,esperance,-33.8667,121.9,17.89,82,61,4.79,AU,1676396020
119,trelew,-43.249,-65.3051,19.79,19,0,8.94,AR,1676395764
120,waw,7.7029,27.9953,29.05,17,31,2.0,SS,1676396021
121,guozhen,34.3659,107.359,0.87,89,65,0.56,CN,1676396021
122,staryy nadym,65.6118,72.6842,-14.73,97,98,3.38,RU,1676396021
